date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:40	163800/163800	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202024%2011:05:39%20GMT	https://dataplustemplate.webflow.io/home-pages/home-v3	C:/My%20Web%20Sites/kore2/dataplustemplate.webflow.io/home-pages/home-v3.html	(from )
16:35:40	20/20	---M-Z	200	added ('OK')	text/plain	date:Tue,%2002%20Apr%202024%2011:05:40%20GMT	https://dataplustemplate.webflow.io/robots.txt		(from )
16:35:41	163578/163578	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202024%2011:05:40%20GMT	https://dataplustemplate.webflow.io/home-pages/home-v1	C:/My%20Web%20Sites/kore2/dataplustemplate.webflow.io/home-pages/home-v1.html	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:41	752669/752669	---M-Z	200	added ('OK')	text/css	etag:%22a64c1661cbf881517087a4ced6c0c6ae%22	https://assets-global.website-files.com/63619a386216ae681d93409b/css/dataplustemplate.webflow.aa0098822.css	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/css/dataplustemplate.webflow.aa0098822.css	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:41	115910/115910	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202024%2011:05:41%20GMT	https://dataplustemplate.webflow.io/home-pages/home-v2	C:/My%20Web%20Sites/kore2/dataplustemplate.webflow.io/home-pages/home-v2.html	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:41	90114/90114	---M--	200	added ('OK')	image/png	etag:%224e0281952487bc4d717a0f037f613044%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63657b83d514ed6017c7ac8d_image-1-hero-v3-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63657b83d514ed6017c7ac8d_image-1-hero-v3-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:41	66618/66618	---M--	200	added ('OK')	image/png	etag:%2284e14c85d5219b8658bb5b6b1467f768%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63657b838a9ca3a476a9480e_image-2-hero-v3-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63657b838a9ca3a476a9480e_image-2-hero-v3-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:42	264132/264132	---M--	200	added ('OK')	image/png	etag:%2207a9590415fcb9113fe2501816cfdaf6%22	https://assets-global.website-files.com/63619a386216ae681d93409b/6362b8c632be3d1c56cdc377_image-1-hero-v1-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/6362b8c632be3d1c56cdc377_image-1-hero-v1-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:42	207006/207006	---M--	200	added ('OK')	image/png	etag:%22c1ce8ab1fb542ebf159d1958ed714d34%22	https://assets-global.website-files.com/63619a386216ae681d93409b/636571a13cdbb05b480fee9a_image-1-perks-v2-section-dataplus-template.png	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/636571a13cdbb05b480fee9a_image-1-perks-v2-section-dataplus-template.png	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
16:35:42	11084/11084	---M--	200	added ('OK')	image/jpeg	etag:%22425a941e5380df42421b9accdfbab5b9%22	https://assets-global.website-files.com/63619a386216ae681d93409b/63630250b52fe75e05d90481_image-1-testimonial-strip-dataplus-template.jpg	C:/My%20Web%20Sites/kore2/assets-global.website-files.com/63619a386216ae681d93409b/63630250b52fe75e05d90481_image-1-testimonial-strip-dataplus-template.jpg	(from https://dataplustemplate.webflow.io/home-pages/home-v3)
